X,Y,Z,class
45.24,-40.69,-62.37,4
0.12,-1.34,0.06,4
0.12,-1.10,0.06,4
45.00,-40.77,-63.17,4
0.00,-0.98,-0.06,4
0.12,-1.10,0.06,4
44.89,-40.76,-62.23,4
0.18,-1.16,0.06,4
0.12,-1.10,0.06,4
45.15,-40.93,-64.22,4
0.00,-0.98,0.06,4
0.12,-1.10,0.06,4
45.12,-40.56,-61.62,4
0.12,-1.10,0.12,4
0.00,-1.10,0.12,4
45.07,-40.91,-63.21,4
-0.06,-1.28,0.12,4
0.00,-1.10,0.12,4
45.14,-41.19,-62.33,4
0.18,-1.10,0.12,4
0.00,-1.10,0.12,4
44.90,-40.61,-62.77,4
0.18,-1.10,0.12,4
0.00,-1.10,0.12,4
44.89,-40.49,-62.81,4
0.06,-1.04,0.12,4
0.00,-1.10,0.12,4
45.29,-40.52,-62.16,4
0.12,-1.16,0.06,4
0.00,-1.10,0.12,4
44.80,-40.66,-63.77,4
0.06,-1.22,0.12,4
0.00,-1.40,0.18,4
44.79,-40.91,-63.16,4
0.18,-1.40,0.12,4
0.00,-1.40,0.18,4
45.28,-40.60,-61.57,4
0.06,-1.34,0.24,4
0.00,-1.40,0.18,4
45.42,-39.98,-63.26,4
0.18,-1.40,0.18,4
0.00,-1.40,0.18,4
44.93,-39.92,-63.21,4
0.06,-1.46,0.18,4
0.00,-1.40,0.18,4
44.81,-40.21,-62.61,4
0.18,-1.46,0.18,4
0.00,-1.40,0.18,4
45.68,-40.67,-62.39,4
0.12,-1.53,0.24,4
0.00,-1.34,0.24,4
45.34,-40.84,-62.38,4
0.12,-1.59,0.24,4
0.00,-1.34,0.24,4
44.60,-41.08,-62.55,4
0.00,-1.40,0.12,4
0.00,-1.34,0.24,4
45.29,-40.64,-63.16,4
-0.12,-1.46,0.18,4
0.00,-1.34,0.24,4
44.65,-40.97,-63.60,4
0.06,-1.46,0.12,4
0.00,-1.34,0.24,4
44.63,-40.56,-62.62,4
0.06,-1.28,0.24,4
0.00,-1.34,0.24,4
44.79,-40.63,-64.26,4
0.00,-1.46,0.06,4
0.00,-1.34,0.24,4
45.04,-40.43,-63.33,4
-0.06,-1.46,0.12,4
0.00,-1.34,0.24,4
44.84,-40.73,-63.48,4
0.00,-1.16,0.00,4
0.00,-1.34,0.24,4
44.92,-40.76,-63.07,4
-0.06,-1.40,0.06,4
0.00,-1.34,0.24,4
45.06,-41.11,-63.00,4
0.06,-1.22,0.24,4
0.00,-1.34,0.24,4
45.03,-40.39,-63.13,4
0.00,-1.34,0.00,4
0.00,-1.34,0.24,4
45.02,-40.20,-63.93,4
0.12,-1.28,0.12,4
0.00,-1.34,0.24,4
45.09,-40.47,-63.12,4
0.00,-1.53,0.06,4
0.00,-1.34,0.24,4
45.24,-40.39,-62.78,4
0.06,-1.34,0.18,4
0.00,-1.34,0.24,4
44.47,-39.97,-63.82,4
0.12,-1.40,0.00,4
0.00,-1.34,0.24,4
44.74,-40.32,-62.77,4
0.12,-1.34,0.18,4
0.00,-1.34,0.24,4
44.59,-40.23,-62.59,4
0.06,-1.46,0.18,4
0.00,-1.53,0.06,4
44.41,-40.65,-63.38,4
0.12,-1.40,0.18,4
0.00,-1.53,0.06,4
44.79,-40.80,-62.99,4
0.06,-1.16,0.00,4
0.00,-1.53,0.06,4
44.71,-40.36,-62.00,4
0.06,-1.10,0.06,4
0.00,-1.53,0.06,4
44.93,-40.14,-62.93,4
-0.06,-1.16,0.06,4
0.00,-1.53,0.06,4
44.68,-40.47,-64.18,4
0.12,-1.34,0.24,4
0.00,-1.53,0.06,4
44.57,-40.49,-63.72,4
0.00,-1.10,0.24,4
0.12,-1.16,0.12,4
45.08,-40.49,-62.95,4
0.12,-1.16,0.24,4
0.12,-1.16,0.12,4
45.09,-40.27,-63.07,4
0.12,-1.28,0.00,4
0.12,-1.16,0.12,4
44.98,-40.88,-63.10,4
0.31,-1.22,0.12,4
0.12,-1.16,0.12,4
45.29,-40.37,-62.50,4
0.06,-1.22,0.06,4
0.12,-1.16,0.12,4
44.56,-40.61,-62.06,4
0.18,-1.04,0.18,4
0.12,-1.16,0.12,4
45.13,-40.39,-63.12,4
-0.06,-1.28,0.06,4
0.18,-1.16,0.00,4
44.82,-40.50,-63.12,4
-0.06,-1.04,0.06,4
0.18,-1.16,0.00,4
45.26,-40.75,-62.46,4
-0.06,-1.10,0.24,4
0.18,-1.16,0.00,4
45.19,-40.10,-63.04,4
0.00,-0.98,0.06,4
0.18,-1.16,0.00,4
45.29,-40.86,-63.81,4
0.00,-1.22,0.12,4
0.18,-1.16,0.00,4
45.03,-41.14,-61.98,4
0.00,-1.16,0.12,4
0.18,-1.16,0.00,4
44.81,-40.87,-62.55,4
0.06,-0.98,0.18,4
0.06,-1.04,0.12,4
45.07,-40.83,-62.96,4
-0.12,-1.04,0.12,4
0.06,-1.04,0.12,4
44.57,-40.52,-62.60,4
-0.31,-0.98,0.06,4
0.06,-1.04,0.12,4
44.95,-40.44,-63.76,4
-0.06,-1.28,0.06,4
0.06,-1.04,0.12,4
44.87,-40.23,-63.95,4
-0.06,-1.40,0.24,4
0.06,-1.04,0.12,4
44.56,-40.92,-62.27,4
-0.18,-0.98,0.18,4
0.06,-1.04,0.12,4
44.58,-40.92,-62.16,4
-0.06,-1.16,0.12,4
0.00,-0.92,0.12,4
44.93,-40.83,-63.32,4
0.00,-1.16,0.24,4
0.00,-0.92,0.12,4
44.59,-41.06,-63.94,4
0.06,-1.28,0.00,4
0.00,-0.92,0.12,4
44.80,-40.15,-62.85,4
0.12,-0.92,0.18,4
0.00,-0.92,0.12,4
44.43,-40.61,-62.57,4
0.12,-0.85,0.00,4
0.00,-0.92,0.12,4
45.19,-40.76,-63.51,4
-0.06,-0.92,0.06,4
0.00,-0.92,0.12,4
45.03,-40.17,-62.76,4
0.06,-0.98,0.00,4
0.06,-1.10,0.12,4
45.26,-40.77,-62.79,4
0.12,-1.10,0.06,4
0.06,-1.10,0.12,4
44.80,-40.22,-62.19,4
0.06,-1.10,0.24,4
0.06,-1.10,0.12,4
45.02,-40.30,-62.71,4
0.12,-1.16,0.06,4
0.06,-1.10,0.12,4
44.67,-40.36,-62.15,4
0.00,-0.98,0.12,4
0.06,-1.10,0.12,4
44.81,-40.63,-63.02,4
0.00,-1.34,0.06,4
0.06,-1.10,0.12,4
45.04,-40.56,-62.55,4
0.06,-1.28,0.18,4
0.12,-1.16,0.12,4
44.89,-40.98,-61.56,4
0.12,-1.16,0.12,4
0.12,-1.16,0.12,4
44.95,-41.00,-62.57,4
0.12,-1.10,0.12,4
0.12,-1.16,0.12,4
44.30,-40.56,-61.91,4
0.06,-1.28,0.24,4
0.12,-1.16,0.12,4
45.36,-40.81,-63.70,4
0.00,-1.04,0.18,4
0.12,-1.16,0.12,4
44.78,-40.91,-63.09,4
-0.12,-1.04,0.24,4
0.12,-1.16,0.12,4
44.81,-41.39,-62.05,4
0.31,-1.16,0.18,4
0.12,-1.16,0.12,4
44.75,-40.76,-63.15,4
0.18,-0.85,0.18,4
0.12,-1.16,0.12,4
44.95,-40.60,-62.70,4
0.12,-1.16,0.24,4
0.12,-1.16,0.12,4
45.23,-40.31,-63.31,4
-0.06,-1.28,0.18,4
0.12,-1.16,0.12,4
44.86,-40.81,-63.12,4
0.00,-1.10,0.06,4
0.12,-1.16,0.12,4
44.63,-40.80,-63.11,4
0.06,-1.16,0.18,4
0.12,-1.16,0.12,4
44.95,-40.52,-62.46,4
0.12,-1.22,0.00,4
0.12,-1.16,0.12,4
45.15,-40.31,-62.56,4
0.18,-1.22,0.24,4
0.12,-1.16,0.12,4
45.04,-40.91,-62.39,4
-0.12,-1.16,0.12,4
0.12,-1.16,0.12,4
44.36,-41.22,-62.08,4
0.12,-0.98,0.24,4
0.12,-1.16,0.12,4
44.53,-41.48,-61.68,4
0.18,-1.34,0.12,4
0.12,-1.16,0.12,4
45.15,-41.28,-62.44,4
-0.12,-0.98,0.00,4
-0.06,-0.98,0.12,4
44.73,-40.15,-61.85,4
-0.12,-1.40,0.24,4
-0.06,-0.98,0.12,4
44.91,-40.65,-62.19,4
0.12,-1.22,0.12,4
