X,Y,Z,class
9.31,6.10,64.66,2
-0.06,-0.79,0.06,2
-0.12,-0.49,0.12,2
9.89,6.04,64.05,2
-0.18,-0.61,0.06,2
-0.12,-0.49,0.12,2
9.89,6.49,65.28,2
-0.18,-0.43,0.06,2
-0.12,-0.49,0.12,2
9.69,6.51,64.00,2
0.00,-0.67,0.06,2
-0.12,-0.49,0.12,2
9.83,6.90,63.98,2
-0.06,-0.61,0.06,2
-0.12,-0.49,0.12,2
9.79,6.60,64.21,2
-0.12,-0.61,0.12,2
-0.12,-0.49,0.12,2
9.75,6.32,64.55,2
0.06,-0.61,0.12,2
-0.12,-0.49,0.12,2
9.38,6.57,64.79,2
-0.06,-0.73,0.12,2
-0.24,-0.73,0.18,2
9.70,6.60,64.81,2
0.00,-0.61,0.06,2
-0.24,-0.73,0.18,2
10.13,6.75,64.62,2
-0.06,-0.55,0.12,2
-0.24,-0.73,0.18,2
10.13,6.68,63.57,2
0.06,-0.67,0.12,2
-0.24,-0.73,0.18,2
10.39,6.16,64.40,2
-0.06,-0.73,0.00,2
-0.24,-0.73,0.18,2
10.11,6.51,63.72,2
-0.06,-0.43,0.12,2
-0.24,-0.73,0.18,2
9.45,6.45,64.31,2
0.06,-0.61,0.12,2
-0.18,-0.55,-0.06,2
9.66,6.79,64.50,2
0.00,-0.79,0.06,2
-0.18,-0.55,-0.06,2
9.39,6.41,64.75,2
0.06,-0.55,0.06,2
-0.18,-0.55,-0.06,2
9.59,6.58,64.67,2
-0.12,-0.73,0.12,2
-0.18,-0.55,-0.06,2
10.30,6.38,63.76,2
-0.18,-0.37,-0.06,2
-0.18,-0.55,-0.06,2
9.31,6.23,64.40,2
0.00,-0.61,0.06,2
-0.18,-0.55,-0.06,2
9.22,6.15,63.22,2
-0.12,-0.61,0.00,2
0.00,-0.55,0.06,2
9.44,6.65,65.20,2
-0.06,-0.43,0.06,2
0.00,-0.55,0.06,2
9.94,6.57,65.10,2
0.00,-0.67,0.00,2
0.00,-0.55,0.06,2
9.33,6.30,65.05,2
-0.24,-0.67,0.12,2
0.00,-0.55,0.06,2
9.53,6.19,65.03,2
-0.06,-0.43,0.12,2
0.00,-0.55,0.06,2
9.24,6.58,65.09,2
-0.12,-0.61,0.00,2
0.00,-0.55,0.06,2
9.48,5.87,64.48,2
-0.06,-0.55,0.18,2
-0.06,-0.49,0.18,2
9.03,6.32,64.89,2
0.06,-0.55,0.18,2
-0.06,-0.49,0.18,2
8.76,5.96,65.49,2
-0.06,-0.55,0.12,2
-0.06,-0.49,0.18,2
9.57,5.94,64.26,2
-0.12,-0.31,0.06,2
-0.06,-0.49,0.18,2
9.34,6.58,65.47,2
-0.12,-0.31,-0.06,2
-0.06,-0.49,0.18,2
10.00,6.42,64.37,2
0.06,-0.43,0.00,2
-0.06,-0.49,0.18,2
9.33,6.49,65.28,2
-0.06,-0.67,0.06,2
-0.06,-0.43,0.06,2
9.24,6.21,64.94,2
0.24,-0.31,0.18,2
-0.06,-0.43,0.06,2
9.41,7.01,64.62,2
-0.06,-0.43,0.18,2
-0.06,-0.43,0.06,2
9.42,6.63,65.25,2
0.00,-0.55,-0.06,2
-0.06,-0.43,0.06,2
9.57,6.84,65.55,2
-0.06,-0.37,0.18,2
-0.06,-0.43,0.06,2
9.81,6.29,64.78,2
-0.18,-0.49,0.00,2
-0.06,-0.43,0.06,2
9.63,6.68,64.75,2
-0.12,-0.49,0.06,2
0.06,-0.49,0.06,2
9.40,6.12,65.03,2
0.00,-0.43,0.00,2
0.06,-0.49,0.06,2
9.80,6.53,64.94,2
-0.18,-0.24,0.06,2
0.06,-0.49,0.06,2
9.89,6.99,65.67,2
-0.06,-0.43,0.18,2
0.06,-0.49,0.06,2
9.72,6.53,65.62,2
-0.06,-0.61,0.18,2
0.06,-0.49,0.06,2
9.73,6.36,65.03,2
-0.06,-0.31,0.00,2
0.06,-0.49,0.06,2
10.13,6.43,65.08,2
0.24,-0.37,0.00,2
0.06,-0.49,0.06,2
9.67,6.24,64.07,2
-0.06,-0.43,0.12,2
0.06,-0.49,0.06,2
9.56,6.53,64.40,2
0.00,-0.61,0.12,2
0.06,-0.49,0.06,2
9.44,6.67,64.59,2
0.06,-0.61,0.06,2
0.06,-0.49,0.06,2
9.16,6.24,64.42,2
-0.18,-0.49,0.12,2
0.06,-0.49,0.06,2
9.59,6.77,64.06,2
0.06,-0.31,0.12,2
0.06,-0.49,0.06,2
9.38,6.25,63.93,2
0.12,-0.49,0.00,2
0.06,-0.49,0.06,2
9.29,6.54,64.27,2
-0.06,-0.67,0.18,2
0.06,-0.49,0.06,2
10.01,6.67,64.65,2
-0.12,-0.24,0.12,2
0.06,-0.49,0.06,2
9.83,6.42,64.73,2
-0.12,-0.49,0.12,2
0.06,-0.49,0.06,2
9.29,6.65,65.05,2
-0.18,-0.55,0.12,2
0.06,-0.49,0.06,2
9.56,6.63,65.04,2
0.06,-0.73,0.06,2
-0.18,-0.55,0.00,2
9.58,6.67,65.22,2
-0.06,-0.55,0.06,2
-0.18,-0.55,0.00,2
9.67,6.32,65.55,2
-0.06,-0.49,0.12,2
-0.18,-0.55,0.00,2
9.48,6.98,64.38,2
-0.06,-0.73,0.18,2
-0.18,-0.55,0.00,2
9.77,6.46,64.44,2
0.00,-0.67,0.06,2
-0.18,-0.55,0.00,2
9.20,6.69,65.44,2
-0.06,-0.67,0.00,2
-0.18,-0.55,0.00,2
9.59,6.32,64.83,2
0.00,-0.67,0.06,2
-0.18,-0.55,0.00,2
9.30,6.31,65.01,2
0.18,-0.73,0.00,2
-0.18,-0.55,0.00,2
9.61,6.10,64.77,2
-0.12,-0.61,0.12,2
-0.18,-0.55,0.00,2
9.25,6.32,64.56,2
0.12,-0.49,0.18,2
-0.18,-0.55,0.00,2
9.31,6.87,64.99,2
0.00,-0.73,0.12,2
-0.18,-0.55,0.00,2
9.56,6.31,64.88,2
0.00,-0.55,0.12,2
-0.18,-0.55,0.00,2
9.70,6.59,65.08,2
0.06,-0.67,0.06,2
0.06,-0.61,0.00,2
9.38,6.34,64.69,2
0.06,-0.43,0.18,2
0.06,-0.61,0.00,2
9.83,6.15,64.62,2
0.00,-0.43,0.12,2
0.06,-0.61,0.00,2
