X,Y,Z,class
0.00,-1.34,0.06,3
-0.06,-1.34,-0.12,3
-0.48,51.67,-73.41,3
0.06,-1.22,-0.12,3
-0.06,-1.34,-0.12,3
-0.09,51.66,-73.18,3
0.00,-1.22,-0.06,3
-0.06,-1.34,-0.12,3
-0.42,51.29,-73.33,3
0.12,-1.46,0.00,3
-0.06,-1.34,-0.12,3
0.18,51.14,-72.56,3
0.18,-1.28,0.06,3
-0.06,-1.34,-0.12,3
0.20,51.77,-72.90,3
0.00,-1.22,0.12,3
-0.06,-1.34,-0.12,3
-0.42,51.55,-71.92,3
-0.06,-1.34,-0.06,3
-0.06,-1.34,-0.12,3
-0.39,52.12,-73.30,3
-0.18,-1.34,-0.06,3
-0.06,-1.34,-0.12,3
-0.82,51.86,-73.67,3
0.00,-1.46,-0.06,3
-0.06,-1.34,-0.12,3
0.45,51.99,-73.93,3
0.06,-1.22,-0.06,3
-0.06,-1.34,-0.12,3
-0.20,51.34,-73.13,3
0.12,-1.34,0.00,3
-0.06,-1.34,-0.12,3
-0.23,51.57,-73.50,3
0.31,-1.22,0.06,3
-0.06,-1.34,-0.12,3
0.40,51.46,-73.82,3
0.00,-1.40,0.06,3
-0.06,-1.34,-0.12,3
0.12,51.55,-74.16,3
0.12,-1.28,0.00,3
-0.06,-1.34,-0.12,3
-0.35,51.61,-74.11,3
-0.06,-1.40,-0.12,3
-0.06,-1.34,-0.12,3
0.34,51.67,-74.06,3
0.06,-1.34,-0.18,3
-0.06,-1.34,-0.12,3
-0.28,51.89,-73.46,3
0.12,-1.40,0.06,3
-0.06,-1.34,-0.12,3
0.07,51.68,-73.68,3
0.00,-1.10,0.00,3
-0.06,-1.34,-0.12,3
0.07,51.54,-73.12,3
-0.06,-1.28,-0.06,3
-0.06,-1.34,-0.12,3
-0.28,51.60,-73.00,3
0.00,-1.16,-0.06,3
-0.06,-1.34,-0.12,3
0.16,51.44,-72.85,3
0.00,-1.16,-0.18,3
-0.06,-1.34,-0.12,3
-0.34,51.67,-73.34,3
0.06,-0.98,0.00,3
-0.06,-1.34,-0.12,3
-0.15,51.66,-72.56,3
0.00,-1.34,-0.06,3
-0.06,-1.34,-0.12,3
0.60,51.20,-72.08,3
0.00,-1.28,-0.12,3
-0.06,-1.34,-0.12,3
0.77,50.89,-74.04,3
-0.12,-1.34,-0.06,3
-0.12,-1.34,0.00,3
-0.22,51.21,-73.71,3
0.12,-1.46,0.06,3
-0.12,-1.34,0.00,3
0.48,51.15,-73.83,3
0.00,-1.28,-0.06,3
-0.12,-1.34,0.00,3
-0.27,51.43,-73.12,3
0.00,-1.28,0.00,3
-0.12,-1.34,0.00,3
-0.51,51.11,-72.92,3
0.06,-1.34,0.00,3
-0.12,-1.34,0.00,3
-0.02,51.05,-73.28,3
0.00,-1.28,0.00,3
-0.12,-1.34,0.00,3
-0.43,51.32,-73.08,3
0.00,-1.40,0.00,3
-0.12,-1.34,0.00,3
-0.05,51.32,-73.57,3
0.06,-1.28,0.00,3
-0.12,-1.34,0.00,3
0.10,51.12,-74.05,3
0.12,-1.40,0.12,3
-0.12,-1.34,0.00,3
-0.33,51.20,-73.99,3
0.06,-1.34,0.06,3
