X,Y,Z,class
0.84,-42.03,-106.03,1
0.06,-1.65,0.43,1
0.24,-1.46,0.43,1
0.13,-42.63,-106.82,1
0.12,-1.53,0.37,1
0.24,-1.46,0.43,1
0.89,-42.31,-106.15,1
0.12,-1.22,0.24,1
0.24,-1.46,0.43,1
0.21,-41.96,-105.40,1
0.12,-1.65,0.37,1
0.24,-1.46,0.43,1
0.78,-41.89,-105.71,1
0.37,-1.65,0.31,1
0.24,-1.46,0.43,1
0.21,-42.36,-105.40,1
0.31,-1.65,0.37,1
0.06,-1.59,0.31,1
-0.10,-41.66,-105.31,1
0.12,-1.53,0.31,1
0.06,-1.59,0.31,1
0.16,-41.92,-105.60,1
-0.06,-1.71,0.31,1
0.06,-1.59,0.31,1
0.92,-41.71,-105.76,1
0.12,-1.65,0.43,1
0.06,-1.59,0.31,1
0.31,-41.87,-105.93,1
0.31,-1.77,0.31,1
0.06,-1.59,0.31,1
0.23,-42.14,-105.60,1
0.18,-1.65,0.31,1
0.06,-1.59,0.31,1
0.77,-41.71,-106.52,1
0.31,-1.59,0.43,1
0.06,-1.59,0.43,1
0.56,-42.80,-105.85,1
0.12,-1.53,0.43,1
0.06,-1.59,0.43,1
0.62,-42.33,-106.53,1
0.37,-1.65,0.31,1
0.06,-1.59,0.43,1
0.27,-42.41,-106.75,1
0.18,-1.59,0.37,1
0.06,-1.59,0.43,1
1.07,-42.05,-107.28,1
0.06,-1.65,0.37,1
0.06,-1.59,0.43,1
-0.23,-42.55,-106.53,1
0.18,-1.46,0.43,1
0.06,-1.59,0.43,1
0.26,-41.86,-105.40,1
0.06,-1.53,0.31,1
0.06,-1.53,0.37,1
-0.18,-41.69,-105.98,1
-0.18,-1.65,0.37,1
0.06,-1.53,0.37,1
0.44,-42.29,-105.02,1
0.06,-1.95,0.43,1
0.06,-1.53,0.37,1
0.10,-42.08,-106.03,1
0.24,-1.77,0.37,1
0.06,-1.53,0.37,1
-0.02,-42.58,-105.68,1
0.06,-1.83,0.37,1
0.06,-1.53,0.37,1
0.71,-42.09,-105.32,1
0.18,-1.83,0.37,1
0.06,-1.53,0.37,1
0.52,-41.91,-105.64,1
0.12,-1.71,0.37,1
0.06,-1.53,0.37,1
0.32,-42.07,-105.32,1
0.06,-1.65,0.37,1
0.06,-1.53,0.37,1
0.11,-42.47,-106.60,1
-0.06,-1.77,0.37,1
0.06,-1.53,0.37,1
0.61,-42.09,-105.97,1
0.06,-1.83,0.43,1
0.06,-1.53,0.37,1
0.63,-42.31,-107.08,1
0.00,-1.83,0.24,1
0.06,-1.53,0.37,1
-0.34,-42.03,-105.88,1
0.12,-1.77,0.37,1
0.06,-1.53,0.37,1
0.62,-42.04,-106.12,1
0.18,-1.65,0.37,1
0.06,-1.53,0.37,1
0.31,-42.37,-105.25,1
0.00,-1.83,0.31,1
0.06,-1.53,0.37,1
-0.24,-42.27,-105.52,1
0.12,-1.53,0.43,1
0.06,-1.53,0.37,1
0.37,-41.92,-105.36,1
0.12,-1.59,0.37,1
0.06,-1.53,0.37,1
0.22,-41.77,-106.40,1
0.12,-1.59,0.24,1
0.06,-1.53,0.37,1
0.24,-42.16,-105.98,1
0.18,-1.65,0.31,1
0.06,-1.65,0.49,1
0.55,-42.26,-106.09,1
0.18,-1.83,0.31,1
0.06,-1.65,0.49,1
0.44,-42.33,-105.40,1
0.00,-1.77,0.37,1
0.06,-1.65,0.49,1
0.61,-42.44,-106.25,1
0.00,-1.53,0.31,1
0.06,-1.65,0.49,1
0.50,-42.54,-106.32,1
0.24,-1.77,0.31,1
0.06,-1.65,0.49,1
0.60,-42.59,-106.52,1
0.31,-1.65,0.43,1
0.06,-1.65,0.49,1
0.44,-41.56,-106.14,1
0.12,-1.71,0.37,1
0.24,-1.77,0.49,1
0.26,-42.11,-105.63,1
0.06,-1.71,0.43,1
0.24,-1.77,0.49,1
0.02,-42.48,-107.19,1
0.18,-1.77,0.31,1
